hi	مرحبًا
tom quit	توم استقال
tom quit	استقال توم
try some	هاك، جرب
who am i	من أنا؟
who died	من مات؟
who died	من توفي؟
after you	من بعدك
birds fly	العصافير تطير
birds fly	تحلق الطيور
bless you	يُباركك
calm down	اِهدأ
can we go	هل نستطيع أن نذهب؟
come here	تعال هنا
come here	تعال إلى هنا
come here	اقتربي
come home	تعال إلى منزلي
did i win	هل أنا فُزت؟
do it now	افعل ذلك الآن
dont lie	إياك و الكذب
excuse me	عفواً
excuse me	أعذرني
fantastic	رائع
forget it	انسَ الأمر
forget it	انسَ ذلك
forget it	انسَ الأمر
forget it	انسَ ذلك
forget me	انسني
go inside	أُدخُلْ
go to bed	اذهب إلى النوم
good luck	بالتوفيق
goodnight	ليلة سعيدة
goodnight	مساء الخير
hands off	لا تلمسني
he is ill	إنه مريض
he is ill	هو مريض
hows tom	كيف توم؟
hows tom	كيف حال توم؟
i am cold	أشعر بالبرد
i am here	أنا هنا
i am okay	أنا بخير
i am sure	أنا متأكد
i hope so	آمل ذلك
i laughed	ضحكت
i like it	هذا يعجبني
i love it	أنا أحبه
i see tom	أنا أرى توم
im a boy	أنا ولد
im a kid	أنا ولد
im a man	أنا رجلٌ
im alone	أنا لوحدي
im bored	مللت
im broke	لقد كُسِرت
im happy	أنا سعيد
im lucky	انا محظوظ
im needy	أنا مسكين
im ready	أنا مستعد
im ready	أنا مستعدة
im sorry	أنا آسف
im sorry	أنا متأسف
im sorry	أتأسف
im sorry	أنا آسف
im tired	أنا متعب
is it new	هل هذا جديد؟
its cold	الجو بارد
its late	إنها ساعة متأخرة
let me go	دَعني أذهب
listen up	اسمع
look back	انظر خلفك
of course	طبعاً
of course	بالطبع
of course	طبعاً
of course	بالتأكيد
of course	طبعاً
pardon me	المعذرة؟
seriously	أأنت جاد؟
she walks	هي تمشي
stay away	ابتعد عني
stay thin	حافظي على جسم نحيف
stay thin	إبقي نحيفة
stay thin	حافظ على نحافتك
stop that	أوقف ذلك
stop that	أوقف ذلك
stop them	أوقفهم
take care	انتبه
take care	مع السلامة
take care	اعتن بنفسك
take care	اعتني بنفسك
thank you	شكراً لك
then what	ثم ماذا؟
then what	ماذا بعد ذلك؟
tom moved	لقد تحرك توم
tom waved	لَوَحَ توم
watch out	انتبه
were hot	نشعر بالحرارة
well done	جيد
whats up	ما الجديد؟
who cares	من يهمّه؟
who is it	مَن؟
who knows	من يدري؟
who knows	من يعلم؟
wonderful	مذهل
wonderful	ممتاز
you idiot	يا أحمق
you idiot	يا غبي
you tried	لقد حاولت وسعك
all aboard	ليركب الجميع
all aboard	ليركب الكل
am i clear	هل هذا واضح؟
am i wrong	هل أنا مخطئ؟
be careful	كن حذرا
be serious	كُن جدياً
birds sing	العصافير تغرّد
bottoms up	الى القاع 
bottoms up	برشفة واحدة 
bring food	أحضر الطعام
bring help	أحضِر المُساعدة
bring wine	أحضر الخمر
bring wine	أحضر النبيذ
can i stay	هل أستطيع أن أبقى؟
carry this	احمل هذا
check that	إفحص ذلك
check this	إفحص هذا
come again	تعالَ مُجدداً
come alone	تعالَ وحدك
come alone	تعالَ بمفردك
come along	تعال معنا
come on in	هيا ادخل
come on in	هيا ادخل
come quick	تعال بسرعة
come to me	تعال إلي
definitely	بالتأكيد
definitely	قطعاً
dont move	لا تتحرك
fill it up	املئها
find a job	إبحث عن عمل
follow him	اتبعه
go to work	اذهب إلى العمل
good night	ليلة سعيدة
have faith	كن مؤمنا
he is nice	إنه لطيف
he is sick	إنه مريض
hes happy	هو سعيد
hes smart	هو ذكي
hes smart	إنه ذكي
here he is	ها هو هنا
here it is	ها هي
i am a boy	أنا ولد
i am going	أنا ذاهب
i am happy	أنا سعيد
i can jump	يمكنني القفز
i can jump	أستطيع القفز
i can jump	يمكنني أن أقفز
i can swim	يمكنني السباحة
i can swim	بإمكاني أن أسبح
i did that	فعلت هذا
i eat here	سآكل هنا
i envy her	أنا أحسدها
i felt sad	شعرت بالحزن
i hear you	أنا أسمعك
i know her	أعرِفها
i know her	أنا أعرفها
i know him	أعرفه
i know him	أنا أعرفه
i like you	أحبك
i like you	تعجبني
i love her	أحبها
i love her	أنا أحبها
i love you	أنا أحبك
i love you	أحبك
i love you	احبك
i love you	انا احبك
i love you	أنا أحبك
i meant it	قصدت ذلك
i miss him	أشتاق إليه
i miss you	اشتقت إليك
i miss you	افتقدتك
i need you	أحتاج إليك
i need you	أحتاجك
i resigned	استقلت
i saw that	لقد رأيت ذلك
i think so	أعتقد ذلك
i think so	أظن ذلك
i want you	أريدك
im ok now	أنا بخير الآن
im a hero	أنا بطل
im coming	سآتي
im coming	أنا آتٍ
im hungry	أشعر بالجوع
im not ok	لست على ما يرام
im sleepy	أنا نعسان
im so fat	أنا بدين جداً
im so fat	أنا شديد البدانة
im so fat	أنا سمين جدا
im unsure	لست متأكّدا
is it love	هل هذا هو الحب؟
its on me	الحساب عليّ
let tom go	دَع توم يذهب
let him go	دعه يذهب
let me out	دعني أخرُج
look again	انظر مرة أخرى
look at me	انظر إليّ
look at me	انظر إلي
love hurts	الحب يؤلم
never mind	لا عليك
never mind	لا داعي للقلق
no problem	لا مشكلة
once again	مرة أخرى
once again	مجدداً
talk to me	كلمني
that hurts	هذا يؤلم
thats wet	ذاك مبلل
tom is big	توم كبير
tom smiled	توم إبتسم
tom yawned	توم تثاءب
toms died	توم مات
toms here	توم هنا
we are men	نحن رجال
we are men	إننا رجال
were boys	إننا صبية
were late	لقد تأخرنا
what gives	ما الأمر؟
whats new	ما الجديد؟
whats new	علومك؟
wood burns	الخشب يحترق
you may go	يمكنك الذهاب
are you mad	هل أنت غاضب؟
are you sad	هل أنتِ حزينة؟
be creative	كُن مُبدِعاً
be creative	كُن خلاقاً
be discreet	كُن حَذِراً
be friendly	كُن ودوداً
be merciful	كُن رحيماً
be prepared	كُن مُستعداً
be prepared	كن مستعداً
be prepared	كونوا مستعدين
be ruthless	كُن عديم الرحمة
be sensible	كُن معقول
be specific	كُن محدداً
be tolerant	كُن مُتسامحاً
be vigilant	توخى الحذر
behave well	كن مؤدبًا
behave well	تصرف بأدب
call me dad	نادني أبي
check again	راجع مُجدداً
check again	إفحص مُجدداً
check again	تحقق مجدداً
come closer	إقتَرِب
come get us	تعال لتأخذنا
come inside	تعالَ بالداخل
come inside	أدخل
come inside	تفضل بالدخول
contact tom	إتصل بتوم
did tom die	هل مات توم؟
do as i say	افعل كما أقول
dont argue	لا تُجادِل
dont cheat	لا تَغِش
dont do it	لا تفعل ذلك
dont worry	لا تقلق
dont worry	لا عليك
get in line	قف في الدور
go find tom	إذهب وابحث عن طوم
go straight	اذهب مستقيم
have a seat	استرح
he can come	بإمكانه المجيء
he is alone	إنه وحيد
he is alone	إنه وحده
he is happy	هو سعيد
hes strong	إنه قوي
hello again	مرحبا مجددا
here we are	ها نحن ذا
here we are	ها قد وصلنا
here we are	ها نحن هنا
how are you	كيف حالك؟
how are you	كيفَ حالك؟
how are you	كيفَ حالِك؟
i also went	ذهبت أيضاً
i am coming	أنا آتٍ
i am coming	أنا آتٍ
i apologize	أنا أعتذر
i dug a pit	حفرت حفرة
i feel cold	أشعر بالبرد
i hate milk	أكره الحليب
i like jazz	أحب موسيقى الجاز
i like rice	أحب الرز
i live here	أعيش هنا
i live here	أنا أسكن هنا
i love rock	أعشق موسيقى الروك
i must hide	عليّ الاختباء
i need time	أحتاج وقتا
i said that	قلت ذلك
i trust you	أثق بك
i trust you	أنا أثق فيك
i trust you	أنا أثق بك
i want more	أريد المزيد
i was wrong	كنت مخطئاً
ill attend	سأحضر
ill decide	سأقرر
im a baker	أنا خباز
im a child	أنا ولد
im a woman	أنا امرأةٌ
im at home	إني في المنزل
im at home	أنا في البيت
im at home	أنا في البيت
im married	أنا متزوج
im reading	أنا أقرأ
im serious	أنا جاد
im serious	أنا لا أمزح
im thirsty	أنا عطشان
im thirsty	أنا عطش
im thirsty	أنا أشعر بالعطش
is tom here	هل توم هنا؟
is it rainy	هل الجو ممطر؟
is it windy	هل الجو عاصف؟
is that all	أهذا كل شيء؟
it cant be	لا يمكن أن يحصل ذلك
it may rain	من الممكن أن تمطر
it may rain	ربما ستمطر
it may snow	قد ينزل الثلج
its monday	اليوم الإثنين
its monday	إنه يوم الاثنين
its my job	إن ذلك عملي
its my job	هذا واجبي
lets begin	لنبدأ
lets party	لنحتفل
lets split	دعونا ننقسم
lets split	دعنا ننقسم
lets split	دعينا ننقسم
lets start	لنبدأ
look at him	انظر إليه
many thanks	شكراً جزيلاً
many thanks	شكراً جزيلاً
nobody came	لم يأتي أحد
ok i agree	حسناً أنا موافق
please come	من فضلك تعال
please come	تعال من فضلك
put it down	ضعها أرضاً
record this	سجّل هذا
shes happy	هي سعيدة
take a look	ألق نظر
take a rest	استرِح
thats life	هكذا هي الحياة
the tvs on	التلفاز مفتوح
tom frowned	قطب توم حاجبيه
tom is here	توم هنا
toms happy	توم سعيد
wait for me	انتظرني
we know him	نحن نعرفه
were happy	نحن سعداء
what a team	يا له من فريق
what is new	ما الجديد؟
whats that	ما ذلك؟
whats this	ما هذا؟
wheres tom	أين توم؟
who are you	من أنت؟
who are you	من أنتِ؟
who drew it	من رسم ذلك؟
who drew it	من رسمها؟
whos there	من هناك؟
yes i know	نعم أنا أعلم
you must go	عليك أن تذهب
you must go	عليك الرحيل
you must go	عليك الذهاب
you must go	يتوجّب عليك الذهاب
youre here	أنت هنا
youre rich	أنت غني
anybody hurt	أاصيب اي احد؟
anything new	هل من جديد؟
are you sure	هل أنت متأكد؟
are you sure	أأنت متأكد من ذلك؟
bring backup	أحضر النُسخة الإحتياطية
bring him in	أدخله
can you come	هل يمكنك القدوم؟
can you come	أيمكنك المجيء؟
can you swim	هل بإمكانك السباحة؟
can you talk	هل بإمكانك الكلام؟
check around	تحقق حولها
come forward	تعالَ إلى الأمام
come forward	تَقَدَم
come quickly	تعالَ بسرعة
come with me	تعال معي
come with us	تعال معنا
cool it down	هدّء من روعك
did you call	هل اتصلت؟
do you smoke	هل تدخن؟
drive safely	قد بحذر
drive safely	سُق بحذر
everyone sat	جلس الجميع
fear nothing	لا تخف من أي شيء
fear nothing	إطمئن
find the cat	اعثر علي القطه
fish please	سمك من فضلك
good evening	مساء الخير
good morning	صباح الخير
grab my hand	أمسك يدي
he can do it	باستطاعته القيام بذلك
he can do it	بإمكانه القيام بذلك
he got angry	غضب
he has a car	إنه يملك سيارة
he has a car	لديه سيارة
he has a car	لديه سيارة
he has a dog	لديه كلب 
he is eating	إنه يأكل
he let me go	هو تركني أذهب
he let us go	هو تركنا نذهب
he loves her	إنه يحبها
he loves her	يحبها
he loves her	هو يحبها
he mocked me	لقد سخر منّي
he was brave	كان شجاعاً
how annoying	كم هذا مزعج
i am chinese	أنا صيني
i am at home	إني في المنزل
i am at home	أنا في البيت
i am at home	أنا في البيت
i am curious	أود أن أعرف
i ate caviar	أكلت الكافيار
i ate caviar	اكلت كافيار
i cant talk	لا أستطيع الكلام
i dialed	اتّصلت ب‍ 911
i do hope so	آمُلُ ذلك
i dont care	لا أهتم
i dont care	الأمر لا يعنيني
i dont care	لا آبه
i dont know	لا أعرف‏‏‏
i dont know	لا أعرف
i dont know	لا أعلم
i dont know	لا أدري
i dont know	لا اعرف
i dont know	لا أعلم
i feel itchy	أشعر بالحكة
i feel tired	أشعر بالإرهاق
i have a car	أملك سيارةً
i have a car	لدي سيارة
i have a pen	لدي قلم
i have a pen	عندي قلم
i have to go	يجب أن أذهب
i hugged her	احتضنتها
i like girls	احب البنات
i love trips	أحب الرحلات
i made jello	لقد أعددت هلاما
i slept late	نمت متأخّرا
i understand	أنا أفهم
i was absent	كنت غائبا
i was hungry	كنت جائعاً
i wont lose	لن أخسر
i wont lose	لن أُهزم
ill ask him	سوف أسأله
ill sue you	سأقاضيك
im a mother	أنا أمّ
im busy now	أنا مشغول الأن
im busy now	أنا مشغولة الأن
im confused	انا محتار
im free now	أنا متفرغ الآن
im freezing	أشعر بالبرد
im new here	أنا جديد هنا
im not busy	لست مشغولاً
im not free	أنا مشغول
im not thin	لست نحيفا
im pregnant	أنا حامل
im so happy	أنا سعيد جداً
im thinking	أفكر
im using it	أستخدمه
iron is hard	الحديد صلب
is tom happy	هل توم سعيد؟
is this love	هل هذا هو الحب؟
it isnt new	ليست جديدة
it was night	إنه المساء
its bedtime	حان وقت النوم
its raining	إنها تمطر
its so dark	إنه مظلم جداً
its too big	هل توم كبير؟
its too hot	إنه ساخن جداً
its too hot	إنها ساخنة جداً
its too hot	الجو حار جداً
its too hot	إن الطقس حار للغاية
its too hot	إنها حارة جداً
its too hot	الجو حار جدا
its too hot	الجو حار جداً
ladies first	السيدات أولاً
let me do it	دعني أفعلها
listen to me	استمع إلي
listen to me	استمع الي
look at that	أُنظر إلى هذا
look at this	أُنظر إلى هذا
mary came in	دخلت ماري
mary came in	أتت ماري
my arm hurts	ذِراعي يُؤْلِمُني
my eyes hurt	عيناي تؤلمانني
my feet hurt	أقدامي تؤلمني
no one knows	لا أحد يعلم
no one knows	لا أحد يعلم
play with me	العب معي
see you then	إذاً أراك لاحقاً
shame on you	عار عليك
she is happy	هي سعيدة
she may come	ربما ستأتي
stay at home	ابق في البيت
stop gawking	كف عن التحديق
stop staring	كف عن التحديق
stop talking	توقف عن الكلام
stop the car	أوقف السيارة
stop yelling	توقف عن الصراخ
stop yelling	توقفي عن الصراخ
stop yelling	كف عن الصراخ
sweet dreams	أحلاماً سعيدة
take it easy	على رِسْلِك
take it easy	لا تحمل هماً
tell us more	أخبرنا أكثر
thanks again	شكرا مرة أخرى
that was fun	كان ذلك ممتعًا
thats great	هذا عظيم
this is ours	هذه لنا
this is true	إن ذلك صحيح
tom has kids	توم لديه أطفال
tom is happy	توم سعيد
tom survived	نجا توم
toms strict	إن توم شديد
try it again	حاول مرة أخرى
try it again	حاول مجدداً
unbelievable	شيء لا يُصدق
we are arabs	نحن عرب
we are happy	نحن مسرورون
we are happy	إنا سعداء
we are happy	نحن سعداء
we need help	نحن نحتاج إلى مساعدة
we need rain	نحن نحتاج إلي المطر
we succeeded	نجحنا
we want meat	نريد لحما
were at war	نحن في حرب
were coming	نحن آتون
were coming	نحن آتون
welcome home	مرحباً بك في المنزل
whats wrong	ما المشكلة؟
whats wrong	ما الخطب؟
where are we	أين نحن؟
where is tom	أين توم؟
why quit now	لم الإستسلام الآن؟
wont you go	ألن تذهب؟
you are rich	إنّك غنيّ
you are rich	أنت غنيّ
you are rich	أنت غني
you go first	اذهب أنت أولاً
you know how	أنت تعلم كيف
youre crazy	إنك مجنون
youre right	أنت محقّ
youre right	عندك حقّ
are you alone	هل أنت وحدك؟
are you happy	هل أنت سعيد؟
are you happy	هل أنت سعيد
are you ready	هل أنت جاهز؟
be respectful	كُن مُحترماً
be supportive	كُن داعماً
bring it here	احضره الى هنا
bring the key	أحضر المفتاح
can you drive	هل تستطيع أن تقود سيارة؟
come tomorrow	تعالَ غداً
dont be evil	لا تكن شرّيرا
everyone dies	الجميع يموت
everyone dies	كل من عليها فانٍ
flowers bloom	الأزهار تتفتح
fry me an egg	اقلي لي بيضة
get behind me	اذهب خلفي
god bless you	باركك الله 
he fooled her	خدعها
he is british	إنه بريطاني
he kissed her	قبّلها
he let tom go	هو تركَ توم يذهب
he lied to us	كذب علينا
he sells cars	إنه يبيع السيارات
he shot at me	أطلق عليّ الرّصاص
hes outraged	إنه غاضب
hes so young	إنهُ شاب جداً
hes so young	إنهُ صغير جداً
hes very ill	إنه مريض جداً
here he comes	ها قد أتى
here or to go	هنا أم تأخذها معك؟
how about you	ماذا عنك؟
how big is it	ما هو حجمها؟
how did it go	كيف جرى الأمر؟
how old is he	كم عمره؟
hows the job	كيف حال الوظيفة؟
i added water	أضفت بعض الماء
i am a muslim	أنا مسلم
i am all ears	كلّي آذانٌ صاغية
i believe you	أصدقك
i came by car	أتيت بالسيارة
i cant do it	لا يمكنني فعل ذلك
i cant do it	لا أستطيع أن أفعل ذلك
i caused this	هذا بسببي
i caused this	أنا سببّت هذا
i did see him	قد رأيته
i did see him	لقد قابلته
i do love you	أحبك
i do not work	أنا عاطل عن العمل
i feel hungry	أشعر بالجوع
i got thirsty	أنا عطشان
i hate coffee	أكره القهوة
i have a book	عندي كتاب
i have a cold	أصبت بالبرد
i have a cold	لدي زكام
i have a cold	أصبت بالزكام
i have a cold	لدي رشح
i just got up	استيقظت للتوّ
i like french	أنا أحب الفرنسية
i like movies	أحب الأفلام
i like movies	أحب مشاهدة الأفلام
i like sports	أحب الرياضة
i like sports	أحب ممارسة الألعاب الرياضية
i like tennis	أحب كرة المضرب
i like tennis	أحب لعب التنس
i lost my job	خسرت وظيفتي
i lost my key	أضعت مفتاحي
i love french	أنا أحب الفرنسية
i love movies	أحب الأفلام
i love my dad	أنا أحب أبي
i must go now	يتوجب علي الذهاب الآن
i need my key	أحتاج لمفتاحي
i play violin	أعزف الكمان
i saw a ghost	رأيت شبحا
i saw nothing	انا لم ارى اي شيء
i took a walk	تمشّيت
i use firefox	أنا أستخدم برنامج فايرفوكس
i use firefox	أنا أستخدم Firefox
i want a beer	أنا أُريد بيرة
i want to die	أريد أن أموت
ill be there	سأحضر
ill buy this	سأشتري ذلك
ill call you	سأتصل بك
ill eat here	سآكل هنا
ill miss you	سأفتقدك
ill miss you	سأشتاق إليك
ill take him	سآخذه معي
im a bit shy	أنا خجول قليلاً
im a student	أنا تلميذ
im a student	أنا طالب
im a tourist	أنا سائح
im confident	أنا واثق من نفسي
im in my car	أنا في السيارة
im not going	أنا لستُ ذاهباً
im not going	أنا لستُ ذاهبة
im not happy	أنا لست سعيداً
im not happy	أنا لستُ سعيدة
im not tired	أنا لست متعباً
im observant	أنا شديد الملاحظة
im on a diet	إنني أتبع حمية
im tired now	أنا متعب الآن
im very busy	إنني مشغول جداً
is that clear	أهذا واضح؟
is that yours	هل هذا لكَ؟
is that yours	هل ذلك يخصك؟
it is raining	إنها تمطر
it is raining	الجو ممطر
it is too hot	الجو حار جدا
it is too hot	الجو حار جداً
it isnt mine	ليس ملكي
it wont hurt	لن يؤلم
itll turn up	سيتم الامر
its saturday	هل اليوم هو السبت؟
its a secret	إنه سر
its accurate	هذا صحيح
its annoying	إنهُ مزعج
its fall now	دخل الخريف
its fall now	نحن في الخريف الآن
its improved	لقد تحسنت
its so early	الوقت مبكر جدا
its stealing	انها سرقه
its very big	إنها كبيرة جداً
just a minute	دقيقة من فضلك
just rest now	استرح الآن فحسب
let me see it	دعني أراها
let me try it	دعني أجربها
life is sweet	الحياة حلوة
listen to tom	استمع إلى توم
lock the gate	أغلق البوابة
love is blind	الحب أعمى
luck is blind	الحظ أعمى
make me happy	أسعدنياجعلني سعيداً
make your bed	رتب سريرك
may i ask why	أيمكنني سؤالك عن السبب؟
may i come in	هل بإمكاني الدخول؟
may i come in	هل أستطيع أن آتي؟
mom im home	أمّي، أنا في المنزل
mom im home	أمّاه، أنا في المنزل
mom im home	أمّاه، لقد عدت إلى المنزل
my head hurts	رأسي يؤلمني
my knee hurts	ركبتي تؤلمني
no thank you	لا، شكراً لك
no thank you	لا شكراً لك
our team lost	خسر فريقنا
pay attention	انتبه
see you again	أراك مجدداً
see you again	إلى اللقاء
see you again	إلى اللقاء
she bent down	إنحنت
she hated him	كرهته
she is eating	إنها تأكل
she loves tom	إنها تحب توم
she loves tom	إنها تعشق توم
she loves tom	هي تحب توم
shut the door	أغلق الباب
speak clearly	تكلم بوضوح
stand at ease	استرح
stay positive	كن ايجابي
stop clapping	كفّ عن التصفيق
thanks anyway	شكراً على أي حال
thats enough	كفى
thats enough	هذا يكفي
thats my cat	ذلك قطي
thats my cat	تلك قطتي
they all left	غادروا جميعا
they hate you	إنهم يكرهونك
they know tom	هم يعرفون توم
theyre happy	إنهم سعداء
theyre happy	هم سعداء
this is a dog	هذا كلب
this is a pen	هذا قلم
this is a pun	هذه نكتة
this way sir	من هنا، سيدي
today was fun	كان اليوم يوماً ممتعاً
tom has a car	توم لديه سيارة
tom has money	توم لديه نقود
tom is absent	توم غائب
tom is my dad	توم هو أبي
tom likes you	توم معجب بكي
tom was fired	طرد توم من عمله
tom was naked	كان توم عاريًا
tom was sober	توم كان رصيناً
use your feet	استخدم قدميك
wait a minute	انتظر دقيقة
wait a moment	انتظر لحظة
we are hungry	إننا جائعون
we understand	نحن نفهم
we wonder why	نتساءل لِمَ
were at home	نحن في المنزل
weve arrived	ها قد وصلنا
weve arrived	لقد وصلنا
were you shot	هل أصبت بعيار ناري؟
what a relief	يا لها من راحة
what can i do	ما عساني أن أفعل؟
what happened	ما الذي حصل؟
what happened	ماذا حدث؟
what happened	ماذا حصل ؟
where are you	أين أنت؟
who said that	من قال هذا؟
who says that	من يقول هذا؟
whose is this	لمن هذا؟
you can do it	يمكنك أن تفعلها
you can do it	تشجع
you look busy	تبدو مشغولاً
you look pale	تبدو شاحباً
you look pale	تبدو شاحب الوجه
you look sick	يبدو عليك المرض
you look sick	تبدو مريضاً
you may speak	يمكنك التحدث
you need this	ستحتاج إلى ذلك
you should go	عليك الذهاب
you should go	من الأفضل أن تذهب
you were busy	كنتَ مشغولاً
you work hard	إنك تعمل بجد
youre a baby	أنت طفل
youre joking	أنت تمزح
allow me to go	اسمح لي بالذهاب
are you coming	هل أنت آتٍ؟
are you hungry	هل أنت جائع؟
arent you tom	ألست طوم؟
birds lay eggs	تضع الطيور البيض
bring it to me	أحضرها لي
can i help you	هل لي أن أساعدك؟
can i help you	أيمكنني مساعدتك؟
can i help you	كيف لي أن أساعدك؟
check everyone	إفحص كُل واحد
close the door	أقفل الباب
come back soon	عُد قريبًا
did i break it	هل كسرتها؟
do as you like	إفعل ما تريد
do as you want	افعل ما تريد
do you know me	هل تعرفني؟
do you like it	هل تحب ذلك؟
do you like it	هل يعجبك ذلك؟
do you love me	أتحبني؟
do you love me	هل تحبني؟
do you mean me	هل تقصدني؟
do you promise	أتعدني؟
do you promise	أتعديني؟
does it matter	هل يهم؟
does this hurt	هل هذا يؤلم؟
dont say that	لا تقل ذلك
dont stop him	لا توقفه
dont touch me	لا تلمسني
drop the knife	ألق السكين
everyone knows	الجميع يعرف
get out of bed	انهض من سريرك
give it to him	أعطه إياه
give it to him	أعطه إياها
happy new year	كل سنة و أنت بخير
happy new year	كل سنة و أنتم بخير
happy new year	عام جديد سعيد
happy new year	سنة جديدة سعيدة
happy new year	عاك سعيد
happy birthday	عيد ميلاد سعيد
he doesnt run	هو لا يجري
he drives fast	هو يسوق بسرعة
he has left us	هو تركنا
he has left us	هو غادرنا
he is a doctor	إنه طبيب
he is a genius	إنه عبقري
he is a genius	إنه ذكي جداً
he looks young	يبدو شاباً
he loves music	يحب الموسيقي
he sang a song	غنى أغنية
he seems tired	يبدو متعباً
he slapped her	صفعها
he will not go	لن يذهب
he worked hard	عمل بجد
hes my father	إنه والدي
hes ready now	إنهُ مُسعد الأن
here is a book	إليك بكتاب
here is a book	هنا كتاب
here they come	ها قد أَتَوْا
heres my card	هذه بطاقتي
heres the bus	ها هو الباص
hi whats new	هلا ما الجديد؟
hi come on in	مرحبا ادخل
how can i help	كيف بإمكاني مساعدتك ؟
how high is it	ما مدي ارتفاعها ؟
how much is it	كم ثمنها؟
hows your dad	كيف حال أبيك؟
i am a student	أنا طالب
i ate the meat	أكلت اللحم
i began to cry	أخذت تبكي
i began to cry	بدأتُ بالبكاء
i came on foot	جئت سيراً على الأقدام
i came on foot	أتيت سيراً على الأقدام
i cant see it	لا يمكنني رؤيته
i fear nothing	لا أخاف شيئا
i feel for you	أشعر بما تمر به
i give my word	أنا أعدك
i go to school	أذهب إلى المدرسة
i hated school	لقد كَرِهتُ المَدرَسَة
i have a cough	لدي كحة
i have a cough	لدي سعال
i have a fever	لدي حمى
i have a house	عندي بيت
i have no idea	لا أعرف‏‏‏
i have sisters	لدي أخوات
i know the boy	أعرف ذلك الولد
i like castles	أحب القلاع
i like the dog	أحب ذلك الكلب
i lost my keys	أضعت مفاتيحي
i love harvard	أنا أحب هارفارد
i love carrots	أحبُ الجزر
i love lasagna	أحب أكل اللازانيا
i love parties	أحب الحفلات
i love to bake	احب ان اخبز
i must buy one	عليّ أن أشتري واحدة
i must buy one	لابد أن اشتري واحدة
i need a knife	أحتاج الى سكين
i quit smoking	توقفت عن التدخين
i saw five men	رأيت خمسة رجال
i saw him jump	رأيته يقفز
i saw one once	رأيتُ واحدة مرة
i see the girl	أنا أري الفتاة
i study korean	أنا أدرس اللغة الكورية
i turned right	انعطفتُ يمينًا
i usually walk	عادةً أمشي
i want to know	أود أن أعرف
i want to live	أريد أن أعيش
i was in shock	شعرت بالصّدمة
i wasnt there	لم أَكُنْ هُناكْ
i will sue you	سأقاضيك
i will sue you	سأرفع عليك قضية
id like to go	أود الذهاب
ill buy a car	سأشتري سيارة
ill come back	سأعود
ill phone you	سأتصل بك
ill scold him	سأوبخه
ill stay home	سأبقى في البيت
im a free man	أنا رجل حر
im behind him	إنني وراءه
im behind him	انا بخلفه 
im in the car	أنا في السيارة
im in trouble	أنا في ورطة
im not scared	أنا لستُ خائفاً
im not scared	أنا لستُ خائفةً
im old enough	أنا كبير بما يكفي
im old enough	أنا كبير بما فيه الكفاية
im still here	أنا ما زلت هنا
im the killer	أنا القاتل
